holed_1,holed_2,holed_3,holed_4,holed_5,holed_6,holed_7,holed_8,holed_9,holed_10,holed_11,holed_12,holed_13,holed_14,holed_15,holed_16,holed_17,holed_18,holed_19,holed_20,holed_21,holed_22,holed_23,holed_24,holed_25,holed_26,holed_27,holed_28,holed_29,holed_30,holed_31,holed_32,holed_33,holed_34,holed_35,holed_36,holed_37,holed_38,holed_39,holed_40,holed_41,holed_42,holed_43,holed_44,holed_45,holed_46,holed_47,holed_48,holed_49,holed_50
578.0,698.0,20.832268,2.0,283.0,154.0,131.0,619.0,107.0,466.0,84.0,584.0,99.0,969.0,55.0,112.0,245.0,450.0,40.0,911.0,135.0,9.0,131.0,470.0,0.0,81.54761,457.0,20.799753,24.335703,358.683,106.0,39.0,0.0,187.0,196.0,86.0,116.0,51.26646,78.0,43.76679,68.0,216.69353,290.0,191.0,637.0,110.90964,212.0,154.0,49.0,0.0
533.0,224.0,18.0,2.0,1047.0,150.0,106.0,542.0,114.0,494.41553,107.0,522.0,88.0,984.0,51.0,98.0,233.0,966.0,33.0,956.0,113.0,13.0,150.0,498.0,0.0,76.0,343.0,20.799753,20.0,358.683,89.0,61.0,10.0,130.0,197.0,186.0,86.92285,51.26646,60.0,33.0,85.0,213.85501,251.0,344.0,666.0,111.90589,164.0,25.0,39.0,0.45358837
623.0,246.0,17.0,8.456202,1185.0,131.0,74.0,517.0,109.0,547.0,102.0,473.0,66.0,840.0,45.0,145.0,166.0,301.0,60.0,988.0,126.0,30.0,151.0,329.0,0.0,116.0,198.0,20.799753,51.0,358.683,84.0,53.79366,48.0,79.0,191.0,511.0,49.0,51.26646,63.0,355.0,75.0,214.52364,316.0,267.0,664.0,108.0,158.0,66.0,34.0,0.0
613.0,643.0,17.0,18.0,746.0,77.0,146.0,455.0,109.983475,390.0,93.0,488.0,71.0,1032.0,46.0,125.0,412.44223,681.0,30.0,1073.0,104.0,33.0,109.0,325.0,0.0,54.0,195.0,20.799753,60.0,358.683,68.0,45.714275,53.0,192.0,198.0,834.0,80.0,51.26646,78.88124,306.0,59.0,213.98268,50.0,184.0,629.0,132.0,152.0,98.0,40.0,0.0
1823.0,318.0,18.0,15.0,560.0,125.0,82.0,551.0,104.0,534.0,116.0,477.0,65.0,1019.0,40.0,49.0,397.0,719.0,53.0,938.0,96.0,56.0,131.0,375.0,0.0,110.0,191.0,20.799753,38.0,358.683,99.0,32.0,6.0,153.0,198.83487,920.0,68.0,51.26646,50.0,294.0,341.0,219.91534,39.0,170.0,590.3463,125.0,169.0,17.0,41.0,0.0
1696.0,321.0,14.0,33.0,473.0,69.0,114.35462,507.0,129.0,570.0,112.0,481.25085,43.0,1033.0,37.30802,88.0,300.0,493.0,33.0,955.0,97.0,29.0,96.0,506.0,0.0,47.0,199.0,20.799753,27.0,358.683,79.0672,58.0,0.0,166.0,197.45732,1128.0,94.0,51.26646,32.44108,337.0,419.0,216.83315,208.0,231.0,547.0,132.0,169.0,1.0,32.0,0.0
1533.0,305.0,18.0,86.0,498.0,67.0,126.0,441.0,115.0,532.0,99.0,485.0,91.0,1059.0,40.0,43.0,121.0,501.0,29.0,1045.0,114.0,15.0,123.0,457.0,0.0,113.0,197.0,20.799753,58.0,358.683,60.0,32.0,0.0,68.0,194.0,683.0,91.0,51.26646,32.0,364.0,290.0,210.59204,64.0,212.0,573.0,130.0,158.0,49.0,48.0,0.0
1748.0,284.0,20.0,92.0,443.0,70.0,127.0,520.0,108.0,707.0,130.0,536.0,71.0,1080.4714,38.0,118.0,192.0,655.0,63.0,1004.29254,81.0,20.0,122.0,593.0,0.0,66.0,207.0,20.799753,107.0,358.683,76.0,53.0,3.0,179.0,137.0,787.0,77.0,51.26646,70.0,81.0,69.0,179.3909,71.0,236.0,694.0,133.0,170.07988,163.0,40.0,0.0
1627.366,611.0875,20.0,97.0,982.0,73.0,118.0,620.0,111.0,1296.0,100.0,449.0,61.0,985.0,43.0,35.0,194.0,608.0,26.0,983.0,120.0,22.0,102.0,1350.0,0.0,54.0,194.0,20.799753,75.0,358.683,86.50199,42.0,32.0,140.0,186.0,972.0,75.95773,51.26646,63.0,75.0,79.0,224.0,66.0,253.70143,610.0,130.73035,165.0,12.0,35.0,0.0
1412.0538,1193.0,14.0,62.0,900.0,59.0,107.0,466.0,106.0,1378.0,122.0,589.0,46.0,1048.0,66.0,150.0,158.0,777.0,44.0,993.0,133.0,29.563978,149.0,1588.0,0.0,118.0,207.0,20.799753,27.0,358.683,95.0,41.0,14.0,105.0,198.0,801.0,78.13719,51.26646,60.0,74.0,90.376945,0.0,161.57198,232.0,593.0,129.54555,191.0,163.0,31.0,0.0
